ZIP,LAT,LNG
12421,42.250044, -74.546139
12422,42.391829, -74.213288
12423,42.379218, -74.109746
12424,42.247617, -74.115847
12427,42.134238, -74.136736
12428,41.746858, -74.466143
12429,41.833329, -73.985378
12430,42.200758, -74.499160
12431,42.362023, -74.023533
12432,42.044420, -73.944531
12433,42.000641, -74.156576
12434,42.363640, -74.502385
12435,41.730800, -74.513360
12436,42.195759, -74.077821
12438,42.204899, -74.601006
12439,42.277817, -74.210390
12440,41.781151, -74.172876
12441,42.134422, -74.509215
12442,42.182411, -74.222991
12443,41.934991, -74.084925
12444,42.264233, -74.297520
12446,41.809559, -74.326443
12448,42.086646, -74.160660
12449,41.992378, -73.993774
12450,42.133247, -74.244279
12451,42.304893, -73.948176
12452,42.252385, -74.364938
12453,42.093389, -73.936281
12454,42.286970, -74.149542
12455,42.140733, -74.659478
12456,42.032705, -73.997133
12457,42.044071, -74.252501
12458,41.822918, -74.432080
12459,42.240382, -74.678893
12460,42.415615, -74.147590
12461,41.904961, -74.267998
12463,42.205517, -74.020428
12464,42.023540, -74.367292
12465,42.157153, -74.460016
12466,41.904345, -73.979025
12468,42.300462, -74.423763
12469,42.448595, -74.246097
12470,42.299624, -74.093387
12471,41.843871, -74.041344
12472,41.847090, -74.079545
12473,42.258166, -74.041007
12474,42.323807, -74.583034
12475,42.015237, -74.015432
12477,42.092591, -73.988110
12480,42.135382, -74.391275
12481,41.987348, -74.228435
12482,42.268143, -73.955446
12483,41.672377, -74.421991
12484,41.861918, -74.176528
12485,42.205023, -74.144201
12486,41.832417, -74.063984
12487,41.869399, -73.998805
12489,41.750485, -74.358293
12490,42.122854, -73.924476
12491,41.965192, -74.141459
12492,42.184926, -74.335763
12493,41.785665, -73.974132
12494,41.956598, -74.292894
12495,42.084923, -74.240680
12496,42.337294, -74.269692
12498,42.045663, -74.109618
12501,41.863095, -73.573627
12502,42.086568, -73.664724
12503,42.035959, -73.580146
12504,42.035298, -73.913144
12507,42.009241, -73.917141
12508,41.495996, -73.953632
12512,41.548499, -73.968402
12513,42.219307, -73.720481
12514,41.877409, -73.764423
12515,41.684774, -74.064840
12516,42.106275, -73.563583
12517,42.114296, -73.507454
12518,41.416157, -74.043064
12520,41.428017, -73.996195
12521,42.171335, -73.650487
12522,41.719979, -73.598384
12523,42.086870, -73.759509
12524,41.528785, -73.888317
12525,41.691564, -74.188272
12526,42.122234, -73.858769
12527,41.519428, -73.935669
12528,41.722054, -74.009482
